,,,,INVOICE SUMMARY ,,,,,,,,,,,
,,,,Summary Report,,,,,,,,,,,
Period  : 1,,,,,,,,,,,,,,,
,,,,,,,,,,,Report ID :,UC_REPM_00,,,
Month  : 08,,,,,,,,,,,,,,,
,,,,,,,,,,,Print Date :,28/08/2025,,,
Year     : 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,Print Time :,10.59.26,,Zulu,
Entity   : Reservation,,,,,,,,,,,,,,,
Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,,,Emails Sent,Detail
DXB76,SKAZKA TOURISM & TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000108,110.00,62.13,40.88,381.75,594.76,,,0,Detail
DAM109,LUXOR,DAM,SY-DAMASCUS,Syria,DMS,250801000054,"2,198.30",929.17,0.00,"3,165.00","6,292.47",,,0,Detail
DXB40,JABOR TRAVEL AND TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000118,"1,574.10",910.70,40.88,"3,300.00","5,825.68",,,0,Detail
DXB13,FLYIN,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000117,"5,575.72","2,657.89",122.37,"9,540.00","17,895.98",,,0,Detail
DXB8,UNITED TOURIST MANAGEMENT LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000025,"3,430.02","1,304.01",93.13,"5,040.00","9,867.16",,,0,Detail
LTK8,APOLLO TRAVEL AND TOURISM,LTK,SY-LATTAKIA,Syria,DMS,250801000121,337.00,124.08,0.00,480.00,941.08,,,0,Detail
DAM204,ALANWAR usd,DAM,SY-DAMASCUS,Syria,DMS,250801000107,"1,105.30",225.32,0.00,555.00,"1,885.62",,,0,Detail
KWI14,ALFANAR,KWI,KW-KUWAIT,Kuwait,KWT,250801000046,144.20,19.50,0.00,78.25,241.95,,,0,Detail
DXB57,DARIN TRAVEL AND TOURS LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000143,"3,131.28","1,634.62",0.00,"6,270.00","11,035.90",,,0,Detail
DAM156,GOLDEN SKY,DAM,SY-DAMASCUS,Syria,DMS,250801000069,"10,540.02","2,436.62",0.00,"5,970.00","18,946.64",,,0,Detail
AUH3,PALM OASIS,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000116,"5,509.97","1,197.85",186.24,"5,205.00","12,099.06",,,0,Detail
KWI7,ALSSAFA,KWI,KW-KUWAIT,Kuwait,KWT,250801000114,"2,582.28",573.64,194.82,"2,174.75","5,525.49",,,0,Detail
DAM203,ALANWAR,DAM,SY-DAMASCUS,Syria,DMS,250801000022,143.00,28.71,0.00,75.00,246.71,,,0,Detail
DXB63,ZANOBIA TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000012,"5,791.94",730.56,7.91,"3,060.00","9,590.41",,,0,Detail
DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000068,"4,363.04","1,967.99",40.88,"7,470.00","13,841.91",,,0,Detail
DXB53,SKY MASTER TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000101,"4,729.20","1,846.65",308.13,"6,255.00","13,138.98",,,0,Detail
DXB33,WL T TRAVEL AND TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000067,"13,750.36","6,486.37",204.40,"23,610.00","44,051.13",,,0,Detail
DXB43,RAMAT TRAVEL AND TOURISM DXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000031,"5,815.86","1,776.82",371.76,"6,719.98","14,684.42",,,0,Detail
KWI15,FEMEX,KWI,KW-KUWAIT,Kuwait,KWT,250801000047,"11,884.59","2,408.70",237.35,"10,199.75","24,730.39",,,0,Detail
DAM188,aldawlyusd,DAM,SY-DAMASCUS,Syria,DMS,250801000073,"1,811.83",541.16,0.00,"1,650.00","4,002.99",,,0,Detail
DXB22,ALAGHARDXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000056,"2,886.54",502.33,0.00,"1,725.00","5,113.87",,,0,Detail
SHJ11,Prive Creative Travel FZE,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000142,992.25,96.86,27.25,720.00,"1,836.36",,,0,Detail
DAM197,babylon usd,DAM,SY-DAMASCUS,Syria,DMS,250801000080,128.00,28.18,0.00,75.00,231.18,,,0,Detail
DEZ6,ALNEMR TRAVEL,DEZ,SY-DEREZZOUR,Syria,DMS,250801000120,"1,114.50",183.14,0.00,375.00,"1,672.64",,,0,Detail
KWI30,QGO,KWI,KW-KUWAIT,Kuwait,KWT,250801000139,353.10,69.19,0.00,231.50,653.79,,,0,Detail
DAM57,ALAGHAR,DAM,SY-DAMASCUS,Syria,DMS,250801000129,"4,424.07","1,223.15",25.00,"3,315.00","8,987.22",,,0,Detail
KWI28,EJAZA CLUB,KWI,KW-KUWAIT,Kuwait,KWT,250801000169,"26,591.92","5,625.59",845.95,"21,533.75","54,597.21",,,0,Detail
DAM193,yas usd,DAM,SY-DAMASCUS,Syria,DMS,250801000074,"3,934.27","1,042.21",90.00,"3,105.00","8,171.48",,,0,Detail
KWI31,AZYAN TRAVEL & TOURISM,KWI,KW-KUWAIT,Kuwait,KWT,250801000119,"3,926.59",746.23,0.00,"2,091.50","6,764.32",,,0,Detail
DAM207,world link usd,DAM,SY-DAMASCUS,Syria,DMS,250801000044,687.50,170.85,0.00,540.00,"1,398.35",,,0,Detail
GSA15,alshahin travel & tourism,RUH,SA-RIYADH,Saudi Arabia,KSA,250801000032,"75,827.46","17,298.54",573.05,"43,257.75","136,956.80",,,0,Detail
DAM98,ASLAN,DAM,SY-DAMASCUS,Syria,DMS,250801000166,"19,533.28","4,846.63",25.00,"15,213.25","39,618.16",,,0,Detail
DAM67,ALDAWLY,DAM,SY-DAMASCUS,Syria,DMS,250801000113,"10,376.26","2,552.93",0.00,"5,976.50","18,905.69",,,0,Detail
QSW4,SAMA ALOPHOQ,QSW,SY-SWEIDAA,Syria,DMS,250801000130,756.55,173.80,0.00,510.00,"1,440.35",,,0,Detail
QHM13,AL asal usd,QHM,SY-HAMA,Syria,DMS,250801000042,"1,366.75",312.08,0.00,825.00,"2,503.83",,,0,Detail
IST3,moto tour,IST,tr-istanbul,Turkey,IST,250801000034,"2,215.20",571.03,30.00,"1,905.00","4,721.23",,,0,Detail
DXB25,TOMEH,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000057,"1,013.90",495.15,130.88,"1,740.00","3,379.93",,,0,Detail
DAM100,ALTAHADI,DAM,SY-DAMASCUS,Syria,DMS,250801000050,"1,149.90",217.26,0.00,450.00,"1,817.16",,,0,Detail
AAN2,SAMA AUH,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000140,"1,504.99",474.33,50.00,"2,355.00","4,384.32",,,0,Detail
DAM56,ALSAYED,DAM,SY-DAMASCUS,Syria,DMS,250801000004,999.00,179.10,0.00,375.00,"1,553.10",,,0,Detail
QHM8,LABABEDI,QHM,SY-HAMA,Syria,DMS,250801000030,280.00,97.01,0.00,360.00,737.01,,,0,Detail
GSA3,Orient Travels,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000082,"19,400.77","8,756.53","1,492.49","33,076.96","62,726.62",,,0,Detail
DAM54,SUN LIGHT,DAM,SY-DAMASCUS,Syria,DMS,250801000087,"2,462.50",450.40,100.00,"1,230.00","4,242.90",,,0,Detail
DXB12,TRANSTOUR,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000007,"3,718.00","1,196.44",130.88,"4,470.00","9,515.32",,,0,Detail
DAM146,ALHASHIME INTRNATIONAL,DAM,SY-DAMASCUS,Syria,DMS,250801000141,"12,950.88","3,055.36",95.50,"9,885.00","25,986.74",,,0,Detail
DAM195,shilan usd,DAM,SY-DAMASCUS,Syria,DMS,250801000109,189.90,54.05,0.00,150.00,393.95,,,0,Detail
SHJ9,DURAH,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000058,417.30,322.66,0.00,"1,380.00","2,119.96",,,0,Detail
KWI11,ALSAQR ALOLA,KWI,KW-KUWAIT,Kuwait,KWT,250801000157,"1,940.74",514.39,32.47,"1,922.50","4,410.10",,,0,Detail
AUH9,MESBAR ALSAADAH,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000092,79.30,62.13,0.00,240.00,381.43,,,0,Detail
AUH21,DESTINATIONS OF THE WOELD TRAVEL&TOURISM LLC,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000064,489.90,229.42,0.00,"1,440.00","2,159.32",,,0,Detail
DAM198,aslan usd,DAM,SY-DAMASCUS,Syria,DMS,250801000078,"2,528.56",576.83,0.00,"1,680.00","4,785.39",,,0,Detail
DXB83,tariq alkaiser travel,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000043,"1,055.68",288.85,0.00,"1,275.00","2,619.53",,,0,Detail
ALP4,ALMALLA,ALP,SY-ALEPPO,Syria,DMS,250801000036,"2,692.90",582.68,0.00,"1,725.00","5,000.58",,,0,Detail
DAM159,AUNAK,DAM,SY-DAMASCUS,Syria,DMS,250801000146,261.00,34.21,0.00,120.00,415.21,,,0,Detail
DAM25,LAYAL TRAVEL,QHS,SY-HOMS,Syria,DMS,250801000155,"7,209.77","1,924.91",50.00,"5,535.00","14,719.68",,,0,Detail
IST8,kral,IST,tr-istanbul,Turkey,IST,250801000106,"2,505.60",636.49,60.00,"1,830.00","5,032.09",,,0,Detail
QHM4,ALBAZ,QHM,SY-HAMA,Syria,DMS,250801000131,"4,031.03","1,195.46",25.00,"3,210.00","8,461.49",,,0,Detail
LTK3,ALTABBA,LTK,SY-LATTAKIA,Syria,DMS,250801000001,935.00,331.44,0.00,"1,200.00","2,466.44",,,0,Detail
SHJ6,AL FAISAL TRAVEL AGENCY,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000093,-10.82,120.23,-408.72,"1,020.00",720.69,,,0,Detail
DAM194,taj almasa usd,DAM,SY-DAMASCUS,Syria,DMS,250801000125,"7,334.45","1,745.93",-60.00,"4,980.00","14,000.38",,,0,Detail
DAM177,FORSAN ALSHAM,DAM,SY-DAMASCUS,Syria,DMS,250801000039,213.00,56.96,0.00,150.00,419.96,,,0,Detail
AUH32,FIVE G travel,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000152,74.00,25.06,0.00,180.00,279.06,,,0,Detail
DXB68,DAR AL SHAM TRAVEL AND TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000038,"1,612.66","1,310.89",109.01,"4,560.00","7,592.56",,,0,Detail
AUH22,OK TRAVELS AND TOURISM LLC,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000009,20.00,37.07,0.00,120.00,177.07,,,0,Detail
SHJ13,W T TOURISM AND TRAVL,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000105,"9,996.65","4,216.48",-305.24,"16,078.48","29,986.37",,,0,Detail
QHM7,ASAL,QHM,SY-HAMA,Syria,DMS,250801000037,74.00,27.66,0.00,120.00,221.66,,,0,Detail
QHM5,SAMA ALFARES,QHM,SY-HAMA,Syria,DMS,250801000162,"1,775.00",582.68,0.00,"2,070.00","4,427.68",,,0,Detail
DXB78,ALWATHEQ TRAVEL AND TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000070,232.00,62.13,0.00,300.00,594.13,,,0,Detail
IST18,TIO elsultan travel,IST,tr-istanbul,Turkey,IST,250801000173,"2,120.50",406.47,0.00,"1,200.00","3,726.97",,,0,Detail
QAJ2,MAJD,QAJ,AE-AJMAN,United Arab Emirates,QAJ,250801000096,"7,543.33","3,085.33",204.38,"12,390.00","23,223.04",,,0,Detail
DXB10,AIRLINK INTERNATIONAL UAE,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000091,272.91,25.20,0.00,180.00,478.11,,,0,Detail
DAM73,ALRASSAM,DAM,SY-DAMASCUS,Syria,DMS,250801000088,"3,707.85","1,175.81",50.00,"3,660.00","8,593.66",,,0,Detail
DXB9,ASSIL TRAVEL & TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000008,"6,036.21","2,734.22",213.64,"9,810.00","18,794.07",,,0,Detail
AUH7,ALFAYHAA,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000095,"1,712.30",420.25,125.00,"1,710.00","3,967.55",,,0,Detail
DXB18,ALTAHADI DXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000026,186.46,37.07,0.00,120.00,343.53,,,0,Detail
DXB49,SAMAALOPHOQ TRAVEL & TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000098,458.24,305.58,52.25,"1,200.00","2,016.07",,,0,Detail
DAM32,ALSHRIAA,QHM,SY-HAMA,Syria,DMS,250801000002,"3,512.33",788.01,25.00,"2,370.00","6,695.34",,,0,Detail
QHS2,ILIAD,QHS,SY-HOMS,Syria,DMS,250801000090,275.63,85.42,0.00,225.00,586.05,,,0,Detail
KWI3,ALAJWA,KWI,KW-KUWAIT,Kuwait,KWT,250801000111,238.00,49.69,0.00,153.25,440.94,,,0,Detail
DAM122,TAJ ALMASA,DAM,SY-DAMASCUS,Syria,DMS,250801000010,"19,029.10","5,262.27",50.00,"13,800.00","38,141.37",,,0,Detail
DAM192,gilgamesh diamond,DAM,SY-DAMASCUS,Syria,DMS,250801000018,"3,675.06","1,056.39",9.00,"3,345.00","8,085.45",,,0,Detail
DAM201,alshaheen usd,DAM,SY-DAMASCUS,Syria,DMS,250801000019,398.70,134.57,0.00,375.00,908.27,,,0,Detail
LTK13,altabba usd,LTK,SY-LATTAKIA,Syria,DMS,250801000014,425.25,196.26,0.00,720.00,"1,341.51",,,0,Detail
IST17,bon voyage,IST,tr-istanbul,Turkey,IST,250801000013,"1,534.20",361.20,0.00,"1,050.00","2,945.40",,,0,Detail
DXB61,RAHLAT MOHTARIF TRAVEL AGENCY LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000168,"2,094.25",782.19,0.00,"2,760.00","5,636.44",,,0,Detail
DAM189,mawakeb alsharq usd,DAM,SY-DAMASCUS,Syria,DMS,250801000180,"2,169.17",562.34,120.00,"1,710.00","4,561.51",,,0,Detail
GSA2,RB GSA ALGHAITH AND ALMOUSA TA,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000045,"32,314.37","10,841.17",634.98,"41,502.95","85,293.47",,,0,Detail
IST2,esb travel,IST,tr-istanbul,Turkey,IST,250801000174,759.00,174.27,0.00,525.00,"1,458.27",,,0,Detail
DXB79,YARA DEEB TRAVEL AGENCY LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000177,"2,032.61","1,051.74",149.88,"4,281.75","7,515.98",,,0,Detail
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,DAM,SY-DAMASCUS,Syria,DMS,250801000110,"53,917.03","14,445.49",875.00,"39,563.50","108,801.02",,,0,Detail
